Time,Open,High,Low,Last,Change,%Chg,Volume
10/18/2022,99.5628,99.7002,98.6208,99.553,0.5887,+0.59%,23983280
10/17/2022,99.3567,99.759,98.8956,98.9643,0.471,+0.48%,16903404
10/14/2022,100.073,100.073,98.3853,98.4933,-0.9518,-0.96%,21078175
10/13/2022,97.3257,99.7247,97.3158,99.4451,0.1767,+0.18%,21124745
10/12/2022,99.2684,99.5726,98.9348,99.2684,-0.1178,-0.12%,19303938
10/11/2022,99.8572,100.2496,99.1415,99.3862,-0.206,-0.21%,30913945
10/10/2022,100.4655,100.5244,99.185,99.5922,-0.9027,-0.90%,6297773
10/07/2022,100.907,100.9757,100.4459,100.4949,-1.0107,-1.00%,21295879
10/06/2022,101.7313,101.9864,101.2603,101.5056,-0.2355,-0.23%,22439053
10/05/2022,101.7214,101.9373,101.015,101.7411,-0.7751,-0.76%,25478277
10/04/2022,102.84,103.1442,102.3985,102.5162,0.471,+0.46%,22338576
10/03/2022,101.6626,102.8695,101.4467,102.0452,1.8535,+1.85%,27721865
09/30/2022,100.7883,101.2851,100.182,100.1917,-0.2543,-0.25%,24600568
09/29/2022,100.2602,100.5145,99.4974,100.446,-0.753,-0.74%,31568860
09/28/2022,100.2309,101.2871,100.0157,101.199,1.995,+2.01%,40821119
09/27/2022,100.7883,100.9937,99.1649,99.204,-1.5158,-1.50%,35465144
09/26/2022,102.089,102.2846,100.6709,100.7198,-1.7799,-1.74%,28228742
09/23/2022,102.5682,102.754,102.0303,102.4997,-0.2934,-0.29%,19092142
09/22/2022,103.2919,103.3016,102.4997,102.7931,-1.467,-1.41%,21455433
09/21/2022,104.2796,104.5437,103.2723,104.2601,0.3912,+0.38%,24421499
09/20/2022,103.996,104.2943,103.7222,103.8689,-1.0464,-1.00%,30993566
09/19/2022,104.2698,105.0229,104.1818,104.9153,0.1761,+0.17%,13987824
09/16/2022,104.397,105.7759,104.3774,104.7392,-0.2445,-0.23%,14295924
09/15/2022,105.2478,105.3847,104.837,104.9837,-0.5086,-0.48%,13239639
09/14/2022,104.9593,105.6781,104.93,105.4923,0.4988,+0.48%,19796765
09/13/2022,104.7001,105.15,104.5534,104.9935,-0.7628,-0.72%,20004247
09/12/2022,106.4018,106.6169,105.5412,105.7563,-0.2347,-0.22%,11334441
09/09/2022,106.1573,106.5876,105.9617,105.991,0.2444,+0.23%,12180287
09/08/2022,105.9519,106.2746,105.6634,105.7466,-0.2444,-0.23%,17251251
09/07/2022,105.0424,106.0986,105.0229,105.991,1.4278,+1.37%,22367235
09/06/2022,105.4825,105.5607,104.5632,104.5632,-1.4376,-1.36%,16826602
09/02/2022,106.4507,106.8419,105.991,106.0008,0.0782,+0.07%,14784591
09/01/2022,105.8052,106.0302,104.9837,105.9226,-0.6415,-0.60%,27308439
08/31/2022,107.4711,107.6369,106.5056,106.5641,-1.1313,-1.05%,19979048
08/30/2022,107.8417,108.0562,107.1298,107.6954,0.1365,+0.13%,19740026
08/29/2022,107.8807,107.8807,107.4223,107.5589,-0.7997,-0.74%,18838496
08/26/2022,108.6901,108.973,108.261,108.3586,-0.6534,-0.60%,14296215
08/25/2022,108.4756,109.2607,108.0075,109.012,1.1118,+1.03%,34431832
08/24/2022,107.988,108.0562,107.6905,107.9002,-0.3218,-0.30%,14807685
08/23/2022,107.9782,108.7291,107.8709,108.222,0.117,+0.11%,14886337
08/22/2022,108.5341,108.5439,107.988,108.105,-0.7314,-0.67%,10467713
08/19/2022,109.168,109.168,108.5877,108.8364,-1.3068,-1.19%,18453676
08/18/2022,110.2115,110.5138,110.0847,110.1432,0.2828,+0.26%,14267515
08/17/2022,110.1627,110.3773,109.6166,109.8604,-1.0435,-0.94%,21365893
08/16/2022,110.9917,111.0502,110.3285,110.9039,-0.4291,-0.39%,15718033
08/15/2022,111.6061,111.7719,111.3135,111.333,-0.078,-0.07%,11023172
08/12/2022,110.7284,111.4306,110.4651,111.411,1.2775,+1.16%,16962964
08/11/2022,111.6354,112.1327,110.0847,110.1335,-1.0727,-0.96%,25604137
08/10/2022,110.7479,111.4793,110.7284,111.2062,1.0435,+0.95%,26196828
08/09/2022,110.2213,110.4066,110.036,110.1627,-0.4974,-0.45%,18261213
08/08/2022,110.7674,111.1185,110.6016,110.6601,0.4388,+0.40%,12191604
08/05/2022,110.153,110.2993,109.5288,110.2213,-1.5116,-1.35%,16296959
08/04/2022,111.4306,111.7914,111.0892,111.7329,0.1756,+0.16%,23021069
08/03/2022,110.4261,111.5866,110.075,111.5573,1.1995,+1.09%,19909530
08/02/2022,111.6939,111.8402,110.27,110.3578,-1.3653,-1.22%,23282960
08/01/2022,111.5476,112.0645,111.4306,111.7231,0.2204,+0.20%,18814819
07/29/2022,111.1817,111.9551,111.0455,111.5027,0.2627,+0.24%,15329718
07/28/2022,111.133,111.4054,110.8947,111.24,0.9145,+0.83%,17747882
07/27/2022,110.092,110.9579,110.0628,110.3255,0.7296,+0.67%,17468814
07/26/2022,109.9461,110.0531,109.5472,109.5959,-0.0194,-0.02%,19030442
07/25/2022,109.7807,109.9412,109.3478,109.6153,-0.934,-0.84%,26371582
07/22/2022,110.6271,111.1428,110.0726,110.5493,0.8464,+0.77%,16510013
07/21/2022,108.4868,109.7126,108.4868,109.7029,1.4788,+1.37%,25842529
07/20/2022,108.8176,108.9051,108.1414,108.2241,-0.1167,-0.11%,10163550
07/19/2022,108.1949,108.4479,107.8155,108.3408,0.3016,+0.28%,15844065
07/18/2022,108.6327,108.6424,107.9614,108.0392,-0.7589,-0.70%,16101958
07/15/2022,107.8544,109.0121,107.8544,108.7981,0.8659,+0.80%,15615872
07/14/2022,107.4458,108.2046,107.1053,107.9322,-0.6908,-0.64%,23618957
07/13/2022,106.7453,108.7494,106.7356,108.623,0.8075,+0.75%,26372293
07/12/2022,108.0976,108.55,107.7766,107.8155,0.1557,+0.14%,18556700
07/11/2022,107.8155,108.1463,107.5042,107.6598,0.3016,+0.28%,9720440
07/08/2022,107.1345,107.4166,106.9642,107.3582,-0.1751,-0.16%,14785359
07/07/2022,107.9517,108.1268,107.3339,107.5333,-0.0098,-0.01%,15588640
07/06/2022,108.3895,108.5549,107.4361,107.5431,-0.5351,-0.50%,17773156
07/05/2022,108.1852,108.2825,107.8349,108.0782,-0.0292,-0.03%,17194053
07/01/2022,107.6598,108.4381,107.475,108.1074,1.3495,+1.26%,20741734
06/30/2022,106.5057,107.6021,106.5057,106.7579,0.3201,+0.30%,17078690
06/29/2022,105.8556,106.4475,105.7731,106.4378,0.6307,+0.60%,11076384
06/28/2022,105.6616,105.8653,105.2928,105.8071,-0.0291,-0.03%,19580686
06/27/2022,106.2243,106.4475,105.778,105.8362,-0.98,-0.92%,21485946
06/24/2022,106.6124,107.3789,106.5833,106.8162,0.1262,+0.12%,19241080
06/23/2022,106.3795,107.5245,106.331,106.69,0.815,+0.77%,31684331
06/22/2022,106.2049,106.4087,105.8168,105.875,0.7665,+0.73%,19523796
06/21/2022,105.7004,106.1661,104.9921,105.1085,-1.0673,-1.01%,17553504
06/17/2022,106.2631,106.4475,105.5354,106.1758,0.2135,+0.20%,17850432
06/16/2022,104.3905,106.2243,104.0994,105.9623,0.1164,+0.11%,31525714
06/15/2022,105.4287,105.9429,104.5351,105.8459,1.63,+1.56%,32549448
06/14/2022,105.2346,105.5839,103.9733,104.2159,-0.5433,-0.52%,28158153
06/13/2022,105.1473,105.613,103.9102,104.7592,-2.4742,-2.31%,35837636
06/10/2022,107.7088,107.8349,106.593,107.2334,-1.0479,-0.97%,37410290
06/09/2022,108.7276,108.9993,108.223,108.2813,-0.718,-0.66%,25608221
06/08/2022,109.4068,109.7269,108.9896,108.9993,-0.6306,-0.58%,14151632
06/07/2022,109.3388,109.921,109.2564,109.6299,0.5821,+0.53%,11637475
06/06/2022,109.7464,109.824,108.9701,109.0478,-0.7762,-0.71%,12588243
06/03/2022,109.3874,109.8337,109.3874,109.824,-0.3493,-0.32%,11791552
06/02/2022,110.28,110.4061,109.5329,110.1733,0.0485,+0.04%,15277619
06/01/2022,111.2503,111.4831,109.7221,110.1248,-0.6462,-0.58%,23028611
05/31/2022,110.5967,110.9839,110.0644,110.771,-0.8227,-0.74%,21010402
05/27/2022,111.4775,111.9518,111.1872,111.5937,0.5808,+0.52%,9552253
05/26/2022,111.1485,111.5743,110.7613,111.0129,0.029,+0.03%,35149228
05/25/2022,110.3644,111.0033,110.2716,110.9839,1.1325,+1.03%,26486067
05/24/2022,108.8835,109.9627,108.806,109.8514,1.4229,+1.31%,17780458
05/23/2022,108.4769,108.9028,108.1962,108.4285,-0.3872,-0.36%,15385580
05/20/2022,108.5834,108.8496,108.3898,108.8157,0.5323,+0.49%,14367331
05/19/2022,108.6705,109.0093,108.1285,108.2834,0.2904,+0.27%,21915003
05/18/2022,107.3348,108.0414,107.3348,107.993,0.3969,+0.37%,16681106
05/17/2022,107.6058,107.8284,107.3928,107.5961,-0.6195,-0.57%,17111202
05/16/2022,108.264,108.7092,108.1575,108.2156,0.1452,+0.13%,12377327
05/13/2022,108.4769,108.5641,107.8429,108.0704,-0.5711,-0.53%,16641336
05/12/2022,108.8544,109.261,108.5641,108.6415,0.0484,+0.04%,22890176
05/11/2022,107.6348,108.8544,107.4751,108.5931,0.5033,+0.47%,25883340
05/10/2022,108.4866,108.7576,107.993,108.0898,0.455,+0.42%,26500315
05/09/2022,106.8798,107.7461,106.6524,107.6348,0.3775,+0.35%,17755045
05/06/2022,107.296,107.9446,107.1122,107.2573,-0.9196,-0.85%,16065478
05/05/2022,108.8351,108.8835,107.3348,108.1769,-1.6842,-1.53%,35494786
05/04/2022,108.7867,110.2095,108.1962,109.8611,1.0647,+0.98%,35374742
05/03/2022,109.1642,109.7062,108.685,108.7964,0.697,+0.64%,21607342
05/02/2022,108.1091,108.3317,107.7316,108.0994,-0.6447,-0.59%,17753499
04/29/2022,109.0435,109.6326,108.5316,108.7441,-1.2168,-1.11%,20975592
04/28/2022,109.3911,109.9706,109.1497,109.9609,0.3283,+0.30%,20342109
04/27/2022,110.4824,110.8784,109.5843,109.6326,-1.0623,-0.96%,20114918
04/26/2022,111.2937,111.3226,110.5597,110.6949,-0.058,-0.05%,23500046
04/25/2022,110.1251,110.9267,110.1155,110.7529,1.2169,+1.11%,23050852
