Time,Open,High,Low,Last,Change,%Chg,Volume
01/16/2020,131.0349,131.289,130.5456,130.9879,-0.414,-0.32%,7225241
01/15/2020,131.2796,131.5054,130.8091,131.4019,0.8657,+0.66%,6685354
01/14/2020,130.0187,130.6209,129.9764,130.5362,0.668,+0.51%,14794826
01/13/2020,129.7364,129.934,129.2754,129.8682,-0.3952,-0.30%,6341760
01/10/2020,129.5388,130.2916,129.5011,130.2634,1.148,+0.89%,9327824
01/09/2020,127.9675,129.3177,127.8781,129.1154,0.4516,+0.35%,7878209
01/08/2020,129.7835,130.141,128.2686,128.6638,-0.8562,-0.66%,11293311
01/07/2020,130.0564,130.2916,129.5106,129.52,-0.6399,-0.49%,8986040
01/06/2020,131.4395,131.4584,129.9905,130.1599,-0.7433,-0.57%,12083798
01/03/2020,130.1034,130.9408,129.7364,130.9032,1.9807,+1.54%,13143064
01/02/2020,128.7108,129.4071,128.5932,128.9225,1.4443,+1.13%,11727031
12/31/2019,128.1651,128.4003,127.3841,127.4782,-1.2609,-0.98%,11379608
12/30/2019,127.864,128.8143,127.6476,128.7391,-0.4704,-0.36%,8480689
12/27/2019,129.3224,129.5012,129.1813,129.2095,0.1411,+0.11%,7758860
12/26/2019,128.8237,129.1154,128.4473,129.0684,0.3105,+0.24%,5623008
12/24/2019,127.8922,128.9649,127.864,128.7579,0.367,+0.29%,4960371
12/23/2019,128.7296,128.879,127.9675,128.3909,-0.1882,-0.15%,5499941
12/20/2019,128.0898,128.6167,127.9016,128.5791,0.1694,+0.13%,5798365
12/19/2019,127.9675,128.7767,127.7417,128.4097,0.2051,+0.16%,7004718
12/18/2019,128.9843,129.1252,128.0261,128.2046,-1.0616,-0.82%,6647404
12/17/2019,129.8392,129.9613,128.8998,129.2662,-0.1784,-0.14%,6578212
12/16/2019,130.0177,130.0741,129.1064,129.4446,-1.1743,-0.90%,9751510
12/13/2019,129.7546,131.1544,128.9186,130.6189,1.4937,+1.16%,12066095
12/12/2019,130.7598,130.8487,128.3361,129.1252,-2.1607,-1.65%,15826657
12/11/2019,130.8632,131.6523,130.7974,131.2859,1.0239,+0.79%,6660712
12/10/2019,130.7504,130.9102,130.0271,130.262,0.0094,+0.01%,5266679
12/09/2019,130.572,130.6847,130.1774,130.2526,0.2819,+0.22%,4423405
12/06/2019,129.6701,130.6941,129.5104,129.9707,-0.7234,-0.55%,8443275
12/05/2019,130.262,130.9947,130.2056,130.6941,-0.6388,-0.49%,7742956
12/04/2019,131.8402,131.9905,130.7786,131.3329,-1.3246,-1.00%,9142524
12/03/2019,131.5584,133.1836,131.455,132.6575,2.7244,+2.10%,14182792
12/02/2019,129.7734,130.2713,129.5949,129.9331,-1.7559,-1.33%,18846455
11/29/2019,131.8765,131.9328,131.0888,131.689,-0.2813,-0.21%,6665442
11/27/2019,131.8578,132.1485,131.689,131.9703,-0.3845,-0.29%,4368526
11/26/2019,132.2329,132.5236,132.1766,132.3548,0.769,+0.58%,4565472
11/25/2019,131.5764,131.7921,131.4639,131.5858,0.3845,+0.29%,4433037
11/22/2019,131.3889,131.5577,130.995,131.2013,0.1688,+0.13%,4975357
11/21/2019,130.9574,131.3701,130.4698,131.0325,-0.8253,-0.63%,6378395
11/20/2019,131.2107,131.8578,131.0794,131.8578,1.3505,+1.03%,8434328
11/19/2019,129.7664,130.5823,129.7664,130.5073,1.0785,+0.83%,8416630
11/18/2019,129.6164,129.9915,129.3538,129.4288,0.2345,+0.18%,6338089
11/15/2019,128.9318,129.5695,128.8849,129.1943,-0.1407,-0.11%,4966509
11/14/2019,129.2319,129.8321,129.1099,129.335,1.3223,+1.03%,10953893
11/13/2019,128.3034,128.4441,127.6938,128.0127,0.8253,+0.65%,7199340
11/12/2019,126.8685,127.4969,126.409,127.1874,0.5814,+0.46%,6156179
11/11/2019,126.9623,126.9717,126.2683,126.606,0.0844,+0.07%,4881522
11/08/2019,126.7466,127.4969,126.3996,126.5216,-0.5345,-0.42%,10905264
11/07/2019,127.872,127.8814,126.0902,127.0561,-2.3446,-1.81%,20488007
11/06/2019,129.4382,129.8039,128.8005,129.4007,0.7784,+0.61%,9973105
11/05/2019,128.6879,128.8942,128.2284,128.6223,-1.463,-1.12%,14391108
11/04/2019,130.3291,130.4885,129.9165,130.0853,-1.7349,-1.32%,11872828
11/01/2019,131.9797,132.4861,131.0981,131.8202,-0.4071,-0.31%,12182913
10/31/2019,131.5158,132.6364,131.4689,132.2273,1.7601,+1.35%,16915179
10/30/2019,128.9787,130.5515,128.9787,130.4672,1.8817,+1.46%,11658018
10/29/2019,128.8383,128.9506,128.417,128.5855,0.0843,+0.07%,5657514
10/28/2019,128.8008,128.8008,128.2485,128.5012,-1.1796,-0.91%,12179173
10/25/2019,130.6264,130.6451,129.4842,129.6808,-0.6366,-0.49%,6056367
10/24/2019,130.7668,131.2911,130.1583,130.3174,-0.2622,-0.20%,7295541
10/23/2019,131.0945,131.3602,130.4672,130.5796,0.1311,+0.10%,6408750
10/22/2019,130.486,130.6254,129.7885,130.4485,0.7583,+0.58%,7145996
10/21/2019,129.7277,130.1208,129.4047,129.6902,-0.983,-0.75%,8747383
10/18/2019,130.8885,131.2817,130.5515,130.6732,0,0.00%,6896473
10/17/2019,130.617,131.4221,130.408,130.6732,-0.3183,-0.24%,7005319
10/16/2019,130.7294,131.1226,130.4579,130.9915,0.1592,+0.12%,9234464
10/15/2019,131.6936,131.9511,130.6451,130.8323,-1.6009,-1.21%,13526766
10/14/2019,132.4519,132.4754,132.0775,132.4332,0.9549,+0.73%,6342420
10/11/2019,131.9838,132.0962,130.7949,131.4783,-1.6477,-1.24%,30456795
10/10/2019,133.9873,134.0435,132.686,133.126,-2.0128,-1.49%,16083299
10/09/2019,135.3729,135.3822,134.6239,135.1388,-0.7677,-0.56%,9541989
10/08/2019,136.515,136.618,135.3916,135.9065,0.3651,+0.27%,15531272
10/07/2019,135.8971,136.2435,135.4759,135.5414,-1.1328,-0.83%,12552490
10/04/2019,136.075,136.7116,135.9346,136.6742,1.0018,+0.74%,12750528
10/03/2019,134.7924,136.3746,134.7362,135.6724,1.2264,+0.91%,14448910
10/02/2019,134.3056,135.0639,134.0996,134.446,0.3276,+0.24%,13775861
10/01/2019,132.246,134.7269,132.1336,134.1184,0.4026,+0.30%,18018909
09/30/2019,132.5943,133.7251,132.557,133.7158,0.3271,+0.25%,8999278
09/27/2019,133.0055,133.6177,132.8373,133.3887,0.3271,+0.25%,11114729
09/26/2019,132.9588,133.6317,132.6084,133.0616,0.8504,+0.64%,11529795
09/25/2019,133.884,134.1551,131.9028,132.2112,-1.9625,-1.46%,15537483
09/24/2019,133.099,134.4307,133.0897,134.1737,1.5981,+1.21%,13854545
09/23/2019,132.9308,133.7859,132.4261,132.5756,-0.0281,-0.02%,16481151
09/20/2019,131.557,132.6878,131.2486,132.6037,1.7289,+1.32%,14314011
09/19/2019,131.5476,131.7626,130.8093,130.8748,0.3926,+0.30%,14375106
09/18/2019,130.7719,131.4542,130.3981,130.4822,0.5513,+0.42%,11884620
09/17/2019,129.3047,130.4636,128.987,129.9309,0.701,+0.54%,9938227
