Date,Open,High,Low,Close,Adj Close,Volume
2022-07-25,76.949997,77.089996,76.650002,76.870003,73.674049,26032000
2022-07-26,76.620003,76.709999,76.279999,76.330002,73.156494,24151200
2022-07-27,76.669998,77.470001,76.669998,77.169998,73.961555,35075700
2022-07-28,77.540001,78.019997,77.230003,77.959999,74.718727,42335900
2022-07-29,77.959999,78.349998,77.750000,78.190002,74.939163,33606800
2022-08-01,77.639999,78.080002,77.510002,77.910004,74.962250,31595600
2022-08-02,77.769997,77.860001,77.500000,77.550003,74.615868,40604400
2022-08-03,77.779999,78.250000,77.570000,78.230003,75.270142,35660900
2022-08-04,78.339996,78.449997,78.110001,78.440002,75.472198,24386400
2022-08-05,77.500000,78.110001,77.389999,78.040001,75.087334,31006700
2022-08-08,78.339996,78.650002,78.050003,78.110001,75.154686,19465600
2022-08-09,77.930000,77.959999,77.500000,77.529999,74.596634,24675700
2022-08-10,78.519997,78.769997,78.389999,78.690002,75.712746,38121800
2022-08-11,79.199997,79.320000,78.129997,78.239998,75.279778,37778700
2022-08-12,78.519997,78.970001,78.290001,78.940002,75.953278,16912300
2022-08-15,78.820000,79.000000,78.650002,78.800003,75.818581,18441100
2022-08-16,78.730003,78.730003,78.260002,78.430000,75.462585,22963200
2022-08-17,77.879997,78.040001,77.589996,77.620003,74.683220,28774600
2022-08-18,77.809998,77.879997,77.660004,77.739998,74.798676,19089300
2022-08-19,77.330002,77.370003,76.779999,76.949997,74.038574,45428900
2022-08-22,76.360001,76.400002,76.010002,76.080002,73.201500,42014200
2022-08-23,76.099998,76.400002,75.830002,76.269997,73.384300,33240000
2022-08-24,76.239998,76.500000,76.160004,76.360001,73.470894,16917400
2022-08-25,76.580002,77.139999,76.449997,77.080002,74.163666,20080000
2022-08-26,77.120003,77.120003,75.739998,75.809998,72.941704,34460600
2022-08-29,75.349998,75.769997,75.260002,75.519997,72.662682,28020200
2022-08-30,75.599998,75.660004,74.699997,74.940002,72.104630,66233900
2022-08-31,74.970001,75.120003,74.510002,74.529999,71.710136,39161800
2022-09-01,73.949997,74.410004,73.610001,74.360001,71.899651,38499700
2022-09-02,75.000000,75.070000,74.230003,74.309998,71.851311,22364500
2022-09-06,74.309998,74.389999,73.849998,74.110001,71.657921,28820900
2022-09-07,74.209999,75.190002,74.190002,75.180000,72.692520,26853200
2022-09-08,74.900002,75.550003,74.779999,75.510002,73.011612,26928000
2022-09-09,75.879997,76.169998,75.629997,75.809998,73.301682,29526800
2022-09-12,76.080002,76.230003,75.769997,76.040001,73.524063,30276100
2022-09-13,74.980003,75.169998,74.279999,74.309998,71.851311,47111300
2022-09-14,74.360001,74.910004,74.309998,74.419998,71.957664,29672400
2022-09-15,74.290001,74.440002,73.910004,73.949997,71.503220,46282300
2022-09-16,73.500000,74.199997,73.370003,74.199997,71.744942,56479900
2022-09-19,73.910004,74.489998,73.839996,74.480003,72.015678,26891900
2022-09-20,74.019997,74.070000,73.669998,73.720001,71.280830,32769500
2022-09-21,73.900002,74.239998,73.160004,73.500000,71.068108,37851300
2022-09-22,73.250000,73.389999,72.800003,73.059998,70.642670,48278100
2022-09-23,72.559998,72.730003,71.879997,72.129997,69.743439,53312000
2022-09-26,71.919998,72.180000,71.260002,71.279999,68.921555,42287400
2022-09-27,71.889999,71.919998,70.900002,71.129997,68.776520,45295500
2022-09-28,71.669998,72.489998,71.440002,72.400002,70.004494,48935800
2022-09-29,71.930000,71.970001,71.320000,71.720001,69.347000,38068800
2022-09-30,71.730003,72.279999,71.379997,71.389999,69.027924,42928700
2022-10-03,71.599998,72.129997,71.459999,71.970001,69.932571,48967900
2022-10-04,72.900002,73.529999,72.769997,73.519997,71.438683,45901300
2022-10-05,72.919998,73.400002,72.610001,73.230003,71.156898,47833500
2022-10-06,73.150002,73.459999,72.900002,73.010002,70.943123,37196000
2022-10-07,72.570000,72.769997,72.099998,72.120003,70.078323,33983000
2022-10-10,72.070000,72.110001,70.919998,71.239998,69.223221,37759700
2022-10-11,71.379997,72.019997,71.290001,71.459999,69.436996,46344600
2022-10-12,71.410004,71.849998,71.410004,71.580002,69.553612,32784800
2022-10-13,70.470001,71.910004,70.400002,71.739998,69.709076,48832500
2022-10-14,72.190002,72.370003,71.330002,71.510002,69.485588,37152100
2022-10-17,72.150002,72.599998,72.139999,72.389999,70.340675,33820000
2022-10-18,73.129997,73.309998,72.580002,72.900002,70.836235,37648400
2022-10-19,72.400002,72.639999,71.980003,72.199997,70.156059,33194000
2022-10-20,72.209999,72.750000,71.730003,71.800003,69.767380,47281100
2022-10-21,71.589996,72.580002,71.559998,72.489998,70.437851,60211200
2022-10-24,72.559998,72.730003,72.160004,72.540001,70.486427,29551200
2022-10-25,72.720001,73.250000,72.699997,73.239998,71.166611,37459200
2022-10-26,73.059998,73.709999,72.949997,73.440002,71.360947,50552100
2022-10-27,73.620003,74.139999,73.360001,73.980003,71.885666,49481500
2022-10-28,74.250000,74.690002,74.120003,74.550003,72.439529,123446800
2022-10-31,74.169998,74.180000,73.419998,73.430000,71.351234,60269700
2022-11-01,73.940002,73.949997,73.209999,73.589996,71.780411,39586700
2022-11-02,73.559998,74.290001,72.879997,72.919998,71.126884,50659500
2022-11-03,72.169998,72.639999,71.889999,72.400002,70.619675,37507100
2022-11-04,72.870003,73.209999,72.400002,72.900002,71.107384,39849100
2022-11-07,73.050003,73.110001,72.680000,72.889999,71.097626,24913000
